date   REG1_contr  REG2_contr  REG3_contr  REG4_contr  REG5_contr  REG6_contr  lpyear
200208 -2.4955357142857000E-01 -2.4955357142857000E-01 -2.4919642857142000E-01 -2.4955357142857000E-01  7.4901785714285000E-01  7.5008928571428000E-01  7.7715611723761000E-16
200209  6.2513392857142000E-01 -3.7558035714285000E-01 -3.7450892857142000E-01 -3.7450892857142000E-01 -3.7415178571428000E-01 -3.7450892857142000E-01  1.7763568394002000E-15
200210 -3.7558035714285000E-01  6.2513392857142000E-01  6.2370535714285000E-01  6.2406250000000000E-01 -3.7486607142857000E-01 -3.7558035714285000E-01  8.8817841970012000E-16
200211 -1.0008482142857000E+00  9.3750000000039000E-04 -1.3392857142877000E-04  2.2321428571466000E-04 -4.9107142857133000E-04  9.9843750000000000E-01  1.6653345369377000E-15
200212  6.2236607142857000E-01  6.2522321428571000E-01 -1.3747767857142000E+00 -3.7549107142857000E-01 -3.7263392857142000E-01 -3.7656250000000000E-01  8.8817841970012000E-16
200301 -2.4933035714285000E-01 -2.4933035714285000E-01 -2.5004464285714000E-01  7.4888392857142000E-01  7.4995535714285000E-01 -2.5075892857142000E-01  0.0000000000000000E+00
200302 -3.1473214285714000E-02 -2.9687500000000000E-02 -3.1473214285714000E-02 -2.9330357142856000E-02 -3.0401785714285000E-02 -3.0401785714285000E-02 -2.4214285714285000E-01
200303  6.5834821428571000E-01 -4.8272321428571000E-01 -4.8058035714285000E-01 -4.8272321428571000E-01 -4.8200892857142000E-01  5.1656250000000000E-01  8.8817841970012000E-16
200304 -7.2589285714285000E-01  6.9767857142857000E-01  6.9732142857143000E-01 -2.9803571428571000E-01 -3.0196428571428000E-01 -3.0160714285714000E-01  1.7763568394002000E-15
200305  3.4622767857142000E-01 -8.1093749999999000E-02  1.7176339285714000E-01 -1.4303794642857000E+00  9.1783482142857000E-01  9.1533482142857000E-01  1.1102230246251000E-15
200306 -1.7178571428571000E-01 -4.5821428571428000E-01 -4.4250000000000000E-01 -4.2964285714285000E-01 -4.5821428571428000E-01 -4.5964285714285000E-01  1.5543122344752000E-15
200307 -1.2495982142857000E+00  7.4968750000000000E-01  7.4825892857142000E-01  7.5111607142857000E-01 -2.5174107142857000E-01 -2.4709821428571000E-01  7.7715611723761000E-16
200308 -3.7455357142857000E-01 -3.7455357142857000E-01 -3.7419642857142000E-01 -3.7455357142857000E-01 -3.7598214285714000E-01  6.2508928571428000E-01  7.7715611723761000E-16
200309  7.5013392857143000E-01  7.4941964285714000E-01 -2.4950892857142000E-01 -2.4950892857142000E-01 -2.4915178571428000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
200310 -3.7558035714285000E-01 -3.7486607142857000E-01  6.2370535714285000E-01  6.2406250000000000E-01  6.2513392857142000E-01 -3.7558035714285000E-01  8.8817841970012000E-16
200311 -1.2584821428571000E-01 -1.1240625000000000E+00 -1.2513392857142000E-01 -1.2477678571428000E-01 -1.2549107142857000E-01 -1.2656250000000000E-01  2.1094237467878000E-15
200312  7.4736607142857000E-01  7.5022321428571000E-01  7.5022321428571000E-01 -1.2504910714285000E+00 -2.4763392857142000E-01 -2.5156250000000000E-01  8.8817841970012000E-16
200401 -2.4933035714285000E-01 -2.4933035714285000E-01 -2.5004464285714000E-01 -2.5111607142857000E-01  7.4995535714285000E-01  7.4924107142857000E-01  0.0000000000000000E+00
200402 -1.5647321428571000E-01 -1.5468750000000000E-01 -1.5647321428571000E-01 -1.5433035714285000E-01 -1.5540178571428000E-01 -1.5540178571428000E-01  7.5785714285714000E-01
200403  7.8334821428571000E-01  6.4227678571428000E-01  6.4441964285714000E-01 -3.5772321428571000E-01 -3.5700892857142000E-01 -3.5843750000000000E-01  8.8817841970012000E-16
200404 -7.2589285714285000E-01 -3.0232142857142000E-01 -3.0267857142857000E-01  7.0196428571428000E-01  6.9803571428571000E-01 -3.0160714285714000E-01  1.8873791418627000E-15
200405  9.6227678571429000E-02 -3.3109375000000000E-01 -7.8236607142857000E-02 -6.8037946428571000E-01 -3.3216517857142000E-01 -1.3346651785714000E+00  6.6613381477509000E-16
200406  7.8214285714286000E-02  7.9178571428571000E-01  8.0750000000000000E-01 -1.7964285714285000E-01 -2.0821428571428000E-01 -2.0964285714285000E-01  1.7763568394002000E-15
200407 -2.4959821428571000E-01 -2.5031250000000000E-01 -1.2517410714285000E+00  7.5111607142857000E-01  7.4825892857143000E-01  7.5290178571428000E-01  8.8817841970012000E-16
200408  7.5044642857143000E-01  7.5044642857143000E-01 -2.4919642857142000E-01 -2.4955357142857000E-01 -2.5098214285714000E-01 -2.4991071428571000E-01  8.3266726846886000E-16
200409 -2.4986607142857000E-01 -2.5058035714285000E-01  7.5049107142857000E-01  7.5049107142857000E-01 -2.4915178571428000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
200410 -5.0058035714285000E-01 -4.9986607142857000E-01 -5.0129464285714000E-01 -5.0093750000000000E-01  5.0013392857142000E-01  4.9941964285714000E-01  8.8817841970012000E-16
200411 -8.4821428571384000E-04  1.0009375000000000E+00 -1.3392857142878000E-04 -9.9977678571428000E-01 -4.9107142857139000E-04 -1.5624999999999000E-03  1.6653345369377000E-15
200412 -2.5263392857142000E-01 -2.4977678571428000E-01  7.5022321428571000E-01  7.4950892857143000E-01  7.5236607142857000E-01 -1.2515625000000000E+00  6.6613381477509000E-16
200501  6.2566964285714000E-01 -3.7433035714285000E-01 -3.7504464285714000E-01 -3.7611607142857000E-01 -3.7504464285714000E-01 -3.7575892857142000E-01  0.0000000000000000E+00
200502 -3.1473214285714000E-02 -2.9687500000000000E-02 -3.1473214285714000E-02 -2.9330357142856000E-02 -3.0401785714285000E-02 -3.0401785714285000E-02 -2.4214285714285000E-01
200503 -1.3416517857142000E+00  5.1727678571428000E-01  5.1941964285714000E-01  5.1727678571428000E-01 -4.8200892857142000E-01 -4.8343750000000000E-01  8.8817841970012000E-16
200504  3.9910714285714000E-01 -1.7732142857142000E-01 -1.7767857142857000E-01 -1.7303571428571000E-01  8.2303571428571000E-01  8.2339285714285000E-01  1.9984014443252000E-15
200505  9.0872767857143000E-01  9.8140625000000000E-01  2.3426339285714000E-01 -3.6787946428571000E-01 -1.9665178571428000E-02 -2.2165178571428000E-02  7.7715611723761000E-16
200506  7.8214285714286000E-02 -2.0821428571428000E-01  8.0750000000000000E-01  8.2035714285714000E-01 -2.0821428571428000E-01 -2.0964285714285000E-01  1.7763568394002000E-15
200507 -3.7459821428571000E-01 -3.7531250000000000E-01 -3.7674107142857000E-01 -1.3738839285714000E+00  6.2325892857143000E-01  6.2790178571428000E-01  8.8817841970012000E-16
200508 -2.4955357142857000E-01  7.5044642857143000E-01  7.5080357142857000E-01 -2.4955357142857000E-01 -2.5098214285714000E-01 -2.4991071428571000E-01  8.3266726846886000E-16
200509 -2.4986607142857000E-01 -2.5058035714285000E-01 -2.4950892857142000E-01  7.5049107142857000E-01  7.5084821428571000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
200510  4.9941964285714000E-01 -4.9986607142857000E-01 -5.0129464285714000E-01 -5.0093750000000000E-01 -4.9986607142857000E-01  4.9941964285714000E-01  8.8817841970012000E-16
200511 -8.4821428571388000E-04  9.3750000000045000E-04  9.9986607142857000E-01  2.2321428571467000E-04 -1.0004910714285000E+00 -1.5624999999998000E-03  1.8318679906315000E-15
200512 -1.2763392857142000E-01 -1.2477678571428000E-01 -1.2477678571428000E-01  8.7450892857143000E-01  8.7736607142857000E-01  8.7343750000000000E-01  8.8817841970012000E-16
200601  7.5066964285714000E-01  7.5066964285714000E-01 -2.5004464285714000E-01 -2.5111607142857000E-01 -2.5004464285714000E-01 -2.5075892857142000E-01  0.0000000000000000E+00
200602 -3.1473214285714000E-02 -2.9687500000000000E-02 -3.1473214285714000E-02 -2.9330357142856000E-02 -3.0401785714285000E-02 -3.0401785714285000E-02 -2.4214285714285000E-01
200603 -2.1665178571428000E-01 -3.5772321428571000E-01  6.4441964285714000E-01  6.4227678571428000E-01  6.4299107142857000E-01 -3.5843750000000000E-01  8.8817841970012000E-16
200604 -8.5089285714285000E-01 -4.2732142857142000E-01 -4.2767857142857000E-01 -4.2303571428571000E-01 -4.2696428571428000E-01  5.7339285714285000E-01  1.5543122344752000E-15
200605 -6.5377232142857000E-01  9.1890625000000000E-01  1.1717633928571000E+00 -4.3037946428571000E-01 -8.2165178571428000E-02 -8.4665178571428000E-02  8.8817841970012000E-16
200606 -1.0467857142857000E+00 -3.3321428571428000E-01 -3.1750000000000000E-01  6.9535714285714000E-01  6.6678571428571000E-01 -3.3464285714285000E-01  1.7763568394002000E-15
200607  6.2540178571428000E-01 -3.7531250000000000E-01 -3.7674107142857000E-01 -3.7388392857142000E-01 -1.3767410714285000E+00  6.2790178571428000E-01  8.8817841970012000E-16
200608 -2.4955357142857000E-01 -2.4955357142857000E-01  7.5080357142857000E-01  7.5044642857142000E-01 -2.5098214285714000E-01 -2.4991071428571000E-01  8.3266726846886000E-16
200609 -2.4986607142857000E-01 -2.5058035714285000E-01 -2.4950892857142000E-01 -2.4950892857142000E-01  7.5084821428571000E-01  7.5049107142857000E-01  1.7763568394002000E-15
200610  4.9941964285714000E-01  5.0013392857142000E-01 -5.0129464285714000E-01 -5.0093750000000000E-01 -4.9986607142857000E-01 -5.0058035714285000E-01  8.8817841970012000E-16
