date   REG1_contr  REG2_contr  REG3_contr  REG4_contr  REG5_contr  lpyear
201211  1.1043650793650000E-01  1.1222222222222000E-01  1.1115079365079000E-01  1.1150793650793000E-01  1.1107936507936000E+00  2.1094237467878000E-15
201212  5.5309523809523000E-01 -1.4440476190476000E+00 -4.4404761904761000E-01 -4.4476190476190000E-01 -4.4190476190476000E-01  8.3266726846886000E-16
201301 -2.2146825396825000E-01 -2.2146825396825000E-01  7.7781746031746000E-01  7.7674603174603000E-01 -2.2218253968254000E-01 -1.1102230246251000E-16
201302 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02 -2.4214285714285000E-01
201303 -3.9904761904761000E-01 -5.4011904761904000E-01 -5.3797619047619000E-01 -5.4011904761904000E-01  4.6059523809523000E-01  8.8817841970012000E-16
201304  3.0761904761904000E-01  7.3119047619047000E-01 -2.6916666666666000E-01 -2.6452380952380000E-01 -2.6845238095238000E-01  1.8318679906315000E-15
201305 -7.5547619047619000E-01 -1.8279761904761000E-01 -9.2994047619047000E-01  4.6791666666666000E-01  8.1613095238095000E-01  8.8817841970012000E-16
201306 -1.2071428571428000E-01 -4.0714285714285000E-01 -3.9142857142857000E-01 -3.7857142857142000E-01 -4.0714285714285000E-01  1.4988010832439000E-15
201307  8.8896825396825000E-01  8.8825396825396000E-01  8.8682539682539000E-01 -1.1031746031746000E-01 -1.1317460317460000E-01  7.7715611723761000E-16
201308 -3.3289682539682000E-01 -3.3289682539682000E-01 -3.3253968253968000E-01 -3.3289682539682000E-01  6.6567460317460000E-01  8.8817841970012000E-16
201309  6.6674603174603000E-01 -3.3396825396825000E-01 -3.3289682539682000E-01 -3.3289682539682000E-01 -3.3253968253968000E-01  1.7763568394002000E-15
201310 -3.3384920634920000E-01  6.6686507936508000E-01  6.6543650793650000E-01  6.6579365079365000E-01 -3.3313492063492000E-01  8.8817841970012000E-16
201311 -1.1117857142857000E+00 -1.0999999999999000E-01 -1.1107142857142000E-01 -1.1071428571428000E-01 -1.1142857142857000E-01  1.8873791418627000E-15
201312  6.6420634920635000E-01  6.6706349206349000E-01 -1.3329365079365000E+00 -3.3365079365079000E-01 -3.3079365079365000E-01  8.3266726846886000E-16
201401 -2.2146825396825000E-01 -2.2146825396825000E-01 -2.2218253968254000E-01  7.7674603174603000E-01  7.7781746031746000E-01 -1.1102230246251000E-16
201402 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02 -2.4214285714285000E-01
201403  6.0095238095238000E-01 -5.4011904761904000E-01 -5.3797619047619000E-01 -5.4011904761904000E-01 -5.3940476190476000E-01  8.8817841970012000E-16
201404 -6.9238095238095000E-01  7.3119047619047000E-01  7.3083333333333000E-01 -2.6452380952380000E-01 -2.6845238095238000E-01  1.8318679906315000E-15
201405  2.4452380952381000E-01 -1.8279761904761000E-01  7.0059523809523000E-02 -1.5320833333333000E+00  8.1613095238095000E-01  8.8817841970012000E-16
201406 -1.2071428571428000E-01 -4.0714285714285000E-01 -3.9142857142857000E-01 -3.7857142857142000E-01 -4.0714285714285000E-01  1.4988010832439000E-15
201407 -1.2221428571428000E+00  7.7714285714285000E-01  7.7571428571428000E-01  7.7857142857142000E-01 -2.2428571428571000E-01  8.8817841970012000E-16
201408 -4.4400793650793000E-01 -4.4400793650793000E-01 -4.4365079365079000E-01 -4.4400793650793000E-01 -4.4543650793650000E-01  9.4368957093138000E-16
201409  7.7785714285714000E-01  7.7714285714285000E-01 -2.2178571428571000E-01 -2.2178571428571000E-01 -2.2142857142857000E-01  1.7763568394002000E-15
201410 -3.3384920634920000E-01 -3.3313492063492000E-01  6.6543650793650000E-01  6.6579365079365000E-01  6.6686507936508000E-01  8.8817841970012000E-16
201411 -1.1178571428571000E-01 -1.1100000000000000E+00 -1.1107142857142000E-01 -1.1071428571428000E-01 -1.1142857142857000E-01  2.1094237467878000E-15
201412  7.7531746031746000E-01  7.7817460317460000E-01  7.7817460317460000E-01 -1.2225396825396000E+00 -2.1968253968253000E-01  7.7715611723761000E-16
201501 -3.3257936507936000E-01 -3.3257936507936000E-01 -3.3329365079365000E-01 -3.3436507936508000E-01  6.6670634920635000E-01 -1.1102230246251000E-16
201502 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02 -2.4214285714285000E-01
201503  7.1206349206349000E-01  5.7099206349206000E-01 -4.2686507936507000E-01 -4.2900793650793000E-01 -4.2829365079365000E-01  8.8817841970012000E-16
201504 -6.9238095238095000E-01 -2.6880952380952000E-01  7.3083333333333000E-01  7.3547619047619000E-01 -2.6845238095238000E-01  1.7763568394002000E-15
201505 -9.7769841269841000E-01 -4.0501984126984000E-01 -1.5216269841269000E-01 -7.5430555555555000E-01 -1.4060912698412000E+00  4.4408920985006000E-16
201506  1.1015079365079000E+00  8.1507936507936000E-01 -1.6920634920634000E-01 -1.5634920634920000E-01 -1.8492063492063000E-01  1.9428902930940000E-15
201507 -2.2214285714285000E-01 -1.2228571428571000E+00  7.7571428571428000E-01  7.7857142857142000E-01  7.7571428571428000E-01  1.2212453270876000E-15
201508  6.6710317460317000E-01 -3.3289682539682000E-01 -3.3253968253968000E-01 -3.3289682539682000E-01 -3.3432539682539000E-01  9.9920072216264000E-16
201509 -2.2214285714285000E-01  7.7714285714285000E-01  7.7821428571428000E-01 -2.2178571428571000E-01 -2.2142857142857000E-01  1.7763568394002000E-15
201510 -4.4496031746031000E-01 -4.4424603174603000E-01 -4.4567460317460000E-01  5.5468253968254000E-01  5.5575396825396000E-01  8.8817841970012000E-16
201511  9.9932539682539000E-01  1.1111111111114000E-03 -9.9996031746031000E-01  3.9682539682575000E-04 -3.1746031746030000E-04  1.8318679906315000E-15
201512 -2.2468253968254000E-01  7.7817460317460000E-01  7.7817460317460000E-01  7.7746031746031000E-01 -1.2196825396825000E+00  8.8817841970012000E-16
201601 -4.4369047619047000E-01 -4.4369047619047000E-01 -4.4440476190476000E-01 -4.4547619047619000E-01 -4.4440476190476000E-01 -5.5511151231257000E-17
201602  9.7190476190476000E-01 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02  7.5785714285714000E-01
201603 -1.2879365079365000E+00  5.7099206349206000E-01  5.7313492063492000E-01  5.7099206349206000E-01 -4.2829365079365000E-01  8.8817841970012000E-16
201604  3.0761904761904000E-01 -2.6880952380952000E-01 -2.6916666666666000E-01 -2.6452380952380000E-01  7.3154761904762000E-01  1.7763568394002000E-15
201605  3.5563492063492000E-01  9.2831349206349000E-01  1.8117063492063000E-01 -4.2097222222222000E-01 -7.2757936507936000E-02  7.7715611723761000E-16
201606  1.0150793650793000E-01 -1.8492063492063000E-01  8.3079365079365000E-01  8.4365079365079000E-01 -1.8492063492063000E-01  1.8873791418627000E-15
201607 -4.4436507936508000E-01 -4.4507936507936000E-01 -4.4650793650793000E-01 -1.4436507936507000E+00  5.5349206349206000E-01  8.8817841970012000E-16
201608 -2.2178571428571000E-01  7.7821428571428000E-01  7.7857142857143000E-01 -2.2178571428571000E-01 -2.2321428571428000E-01  8.8817841970012000E-16
201609 -2.2214285714285000E-01 -2.2285714285714000E-01 -2.2178571428571000E-01  7.7821428571428000E-01  7.7857142857142000E-01  1.7763568394002000E-15
201610  4.4392857142857000E-01 -5.5535714285714000E-01 -5.5678571428571000E-01 -5.5642857142857000E-01 -5.5535714285714000E-01  8.8817841970012000E-16
201611 -6.7460317460279000E-04  1.1111111111115000E-03  1.0000396825396000E+00  3.9682539682576000E-04 -1.0003174603174000E+00  1.7763568394002000E-15
201612 -2.2468253968254000E-01 -2.2182539682539000E-01 -2.2182539682539000E-01  7.7746031746031000E-01  7.8031746031746000E-01  7.7715611723761000E-16
201701  7.7853174603174000E-01  7.7853174603174000E-01 -2.2218253968254000E-01 -2.2325396825396000E-01 -2.2218253968254000E-01 -5.5511151231257000E-17
201702 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02 -2.4214285714285000E-01
201703 -1.7682539682539000E-01 -3.1789682539682000E-01  6.8424603174603000E-01  6.8210317460317000E-01  6.8281746031746000E-01  8.8817841970012000E-16
