date   REG1_contr  REG2_contr  lpyear
199412  1.3746875000000000E+00  8.7343750000000000E-01  8.8817841970012000E-16
199501  7.5013392857143000E-01 -2.5075892857142000E-01 -2.2204460492503000E-16
199502 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
199503  1.3553125000000000E+00 -3.5843750000000000E-01  8.8817841970012000E-16
199504 -2.5558928571428000E+00  5.7339285714285000E-01  1.5543122344752000E-15
199505  9.2435267857143000E-01 -8.4665178571428000E-02  8.8817841970012000E-16
199506 -3.3535714285714000E-01 -3.3464285714285000E-01  1.9984014443252000E-15
199507 -1.8772767857142000E+00  6.2790178571428000E-01  8.8817841970012000E-16
199508  7.5116071428571000E-01 -2.4991071428571000E-01  8.8817841970012000E-16
199509 -2.4861607142857000E-01  7.5049107142857000E-01  1.7763568394002000E-15
199510 -5.0254464285714000E-01 -5.0058035714285000E-01  8.8817841970012000E-16
199511  9.9968750000000000E-01 -1.0015625000000000E+00  1.7763568394002000E-15
199512 -1.8753125000000000E+00  6.2343750000000000E-01  9.9920072216264000E-16
199601  7.5013392857143000E-01 -2.5075892857142000E-01 -2.2204460492503000E-16
199602  8.4763392857143000E-01 -3.0401785714285000E-02  7.5785714285714000E-01
199603 -1.2696875000000000E+00  5.1656250000000000E-01  8.8817841970012000E-16
199604  6.9107142857144000E-02 -3.0160714285714000E-01  1.8873791418627000E-15
199605 -7.0064732142857000E-01 -2.0966517857142000E-01  8.8817841970012000E-16
199606 -1.3353571428571000E+00  6.6535714285714000E-01  1.7763568394002000E-15
199607  2.3727232142857000E+00 -1.2209821428571000E-01  8.8817841970012000E-16
199608 -2.4883928571428000E-01  7.5008928571428000E-01  9.9920072216264000E-16
199609 -8.7361607142857000E-01 -3.7450892857142000E-01  1.7763568394002000E-15
199610  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
199611 -1.0003125000000000E+00  9.9843750000000000E-01  1.7763568394002000E-15
199612 -8.7531250000000000E-01 -3.7656250000000000E-01  9.4368957093138000E-16
199701  7.5013392857143000E-01 -2.5075892857142000E-01 -5.5511151231257000E-17
199702 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
199703 -2.8946875000000000E+00  3.9156250000000000E-01  8.8817841970012000E-16
199704  1.6941071428571000E+00 -1.7660714285714000E-01  1.8873791418627000E-15
199705 -7.5647321428571000E-02  9.1533482142857000E-01  8.8817841970012000E-16
199706 -3.3535714285714000E-01 -3.3464285714285000E-01  1.8873791418627000E-15
199707  7.4772321428571000E-01 -2.4709821428571000E-01  8.8817841970012000E-16
199708 -1.8738392857142000E+00  6.2508928571428000E-01  8.8817841970012000E-16
199709  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
199710  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
199711 -1.6253125000000000E+00 -1.2656250000000000E-01  1.9984014443252000E-15
199712  7.4968750000000000E-01 -2.5156250000000000E-01  8.8817841970012000E-16
199801 -2.4986607142857000E-01  7.4924107142857000E-01  0.0000000000000000E+00
199802 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
199803 -2.6968749999999000E-01 -4.8343750000000000E-01  8.8817841970012000E-16
199804  6.9107142857144000E-02 -3.0160714285714000E-01  1.7208456881689000E-15
199805 -1.7006473214285000E+00  7.9033482142857000E-01  8.8817841970012000E-16
199806 -3.3535714285714000E-01 -3.3464285714285000E-01  1.7763568394002000E-15
199807  7.4772321428571000E-01 -2.4709821428571000E-01  9.9920072216264000E-16
199808 -8.7383928571428000E-01 -3.7491071428571000E-01  8.8817841970012000E-16
199809  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
199810  1.2245535714285000E-01  6.2441964285714000E-01  8.8817841970012000E-16
199811 -3.1249999999905000E-04 -1.5624999999999000E-03  1.8873791418627000E-15
199812  7.4968750000000000E-01 -2.5156250000000000E-01  9.9920072216264000E-16
199901 -1.8748660714285000E+00  6.2424107142857000E-01 -1.1102230246251000E-16
199902 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
199903  1.3553125000000000E+00 -3.5843750000000000E-01  8.8817841970012000E-16
199904  6.9107142857144000E-02 -3.0160714285714000E-01  1.7208456881689000E-15
199905 -1.3256473214285000E+00 -1.3346651785714000E+00  8.8817841970012000E-16
199906  1.2896428571428000E+00 -2.0964285714285000E-01  1.7763568394002000E-15
199907 -2.5227678571428000E-01  7.5290178571428000E-01  9.9920072216264000E-16
199908  7.5116071428571000E-01 -2.4991071428571000E-01  8.8817841970012000E-16
199909  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
199910 -1.5025446428571000E+00  4.9941964285714000E-01  8.8817841970012000E-16
199911 -3.1249999999898000E-04 -1.5624999999999000E-03  1.7763568394002000E-15
199912  1.7496875000000000E+00 -1.2515625000000000E+00  8.8817841970012000E-16
200001 -8.7486607142857000E-01 -3.7575892857142000E-01  0.0000000000000000E+00
200002  8.4763392857143000E-01 -3.0401785714285000E-02  7.5785714285714000E-01
200003  1.3553125000000000E+00 -3.5843750000000000E-01  8.8817841970012000E-16
200004 -2.5558928571428000E+00  5.7339285714285000E-01  1.5543122344752000E-15
200005  2.5493526785714000E+00  4.0334821428571000E-02  8.8817841970012000E-16
200006 -1.9603571428571000E+00 -4.5964285714285000E-01  1.9984014443252000E-15
200007 -1.8772767857142000E+00  6.2790178571428000E-01  8.8817841970012000E-16
200008  7.5116071428571000E-01 -2.4991071428571000E-01  8.8817841970012000E-16
200009 -2.4861607142857000E-01  7.5049107142857000E-01  1.7763568394002000E-15
200010 -5.0254464285714000E-01 -5.0058035714285000E-01  8.8817841970012000E-16
200011  9.9968750000000000E-01 -1.0015625000000000E+00  1.7763568394002000E-15
200012 -1.8753125000000000E+00  6.2343750000000000E-01  9.9920072216264000E-16
200101  7.5013392857143000E-01 -2.5075892857142000E-01 -2.2204460492503000E-16
200102 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
200103  3.5531250000000000E-01  6.4156250000000000E-01  8.8817841970012000E-16
200104 -1.5558928571428000E+00 -4.2660714285714000E-01  1.5543122344752000E-15
200105  9.2435267857143000E-01 -8.4665178571428000E-02  9.9920072216264000E-16
200106 -1.3353571428571000E+00  6.6535714285714000E-01  1.9984014443252000E-15
200107  1.2272321428571000E-01 -1.3720982142857000E+00  8.8817841970012000E-16
200108  7.5116071428571000E-01 -2.4991071428571000E-01  7.7715611723761000E-16
200109 -1.8736160714285000E+00  6.2549107142857000E-01  1.7763568394002000E-15
200110  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
200111  1.6246875000000000E+00  1.2343750000000000E-01  1.8318679906315000E-15
200112 -1.8753125000000000E+00  6.2343750000000000E-01  9.9920072216264000E-16
200201  7.5013392857143000E-01 -2.5075892857142000E-01 -1.1102230246251000E-16
200202 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
200203 -1.2696875000000000E+00  5.1656250000000000E-01  8.8817841970012000E-16
200204  6.9107142857144000E-02 -3.0160714285714000E-01  1.8873791418627000E-15
200205 -7.0064732142857000E-01 -2.0966517857142000E-01  8.8817841970012000E-16
200206 -1.3353571428571000E+00  6.6535714285714000E-01  1.7763568394002000E-15
200207  2.3727232142857000E+00 -1.2209821428571000E-01  8.8817841970012000E-16
200208 -2.4883928571428000E-01  7.5008928571428000E-01  9.9920072216264000E-16
200209 -8.7361607142857000E-01 -3.7450892857142000E-01  1.7763568394002000E-15
200210  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
200211 -1.0003125000000000E+00  9.9843750000000000E-01  1.7763568394002000E-15
200212 -8.7531250000000000E-01 -3.7656250000000000E-01  9.4368957093138000E-16
200301  7.5013392857143000E-01 -2.5075892857142000E-01 -5.5511151231257000E-17
200302 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
200303 -1.2696875000000000E+00  5.1656250000000000E-01  8.8817841970012000E-16
200304  6.9107142857144000E-02 -3.0160714285714000E-01  1.7763568394002000E-15
200305 -7.5647321428571000E-02  9.1533482142857000E-01  1.1102230246251000E-15
200306 -1.9603571428571000E+00 -4.5964285714285000E-01  1.5543122344752000E-15
200307  7.4772321428571000E-01 -2.4709821428571000E-01  8.8817841970012000E-16
200308 -1.8738392857142000E+00  6.2508928571428000E-01  8.8817841970012000E-16
200309  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
200310  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
200311 -1.6253125000000000E+00 -1.2656250000000000E-01  1.9984014443252000E-15
200312  7.4968750000000000E-01 -2.5156250000000000E-01  8.8817841970012000E-16
200401 -2.4986607142857000E-01  7.4924107142857000E-01  0.0000000000000000E+00
200402 -7.7736607142857000E-01 -1.5540178571428000E-01  7.5785714285714000E-01
200403  1.3553125000000000E+00 -3.5843750000000000E-01  8.8817841970012000E-16
200404  6.9107142857144000E-02 -3.0160714285714000E-01  1.7208456881689000E-15
200405 -1.3256473214285000E+00 -1.3346651785714000E+00  8.8817841970012000E-16
200406  1.2896428571428000E+00 -2.0964285714285000E-01  1.7763568394002000E-15
200407 -2.5227678571428000E-01  7.5290178571428000E-01  9.9920072216264000E-16
200408  7.5116071428571000E-01 -2.4991071428571000E-01  8.8817841970012000E-16
200409  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
200410 -1.5025446428571000E+00  4.9941964285714000E-01  8.8817841970012000E-16
200411 -3.1249999999898000E-04 -1.5624999999999000E-03  1.7763568394002000E-15
200412  1.7496875000000000E+00 -1.2515625000000000E+00  8.8817841970012000E-16
200501 -8.7486607142857000E-01 -3.7575892857142000E-01  0.0000000000000000E+00
200502 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
200503 -2.6968749999999000E-01 -4.8343750000000000E-01  8.8817841970012000E-16
200504  6.9410714285714000E-01  8.2339285714285000E-01  1.8873791418627000E-15
200505  1.7368526785714000E+00 -2.2165178571428000E-02  6.6613381477509000E-16
200506  1.2896428571428000E+00 -2.0964285714285000E-01  1.7763568394002000E-15
200507 -1.8772767857142000E+00  6.2790178571428000E-01  8.8817841970012000E-16
200508  7.5116071428571000E-01 -2.4991071428571000E-01  8.8817841970012000E-16
200509  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
200510 -1.5025446428571000E+00  4.9941964285714000E-01  8.8817841970012000E-16
200511 -3.1249999999896000E-04 -1.5624999999998000E-03  1.6098233857064000E-15
200512  1.3746875000000000E+00  8.7343750000000000E-01  8.8817841970012000E-16
200601  7.5013392857143000E-01 -2.5075892857142000E-01 -2.2204460492503000E-16
200602 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
200603  1.3553125000000000E+00 -3.5843750000000000E-01  8.8817841970012000E-16
200604 -2.5558928571428000E+00  5.7339285714285000E-01  1.5543122344752000E-15
200605  9.2435267857143000E-01 -8.4665178571428000E-02  8.8817841970012000E-16
200606 -3.3535714285714000E-01 -3.3464285714285000E-01  1.9984014443252000E-15
200607 -1.8772767857142000E+00  6.2790178571428000E-01  8.8817841970012000E-16
200608  7.5116071428571000E-01 -2.4991071428571000E-01  8.8817841970012000E-16
