date   REG1_contr  lpyear
200004 -2.8744444444444000E+00  1.5543122344752000E-15
200005  2.5269444444444000E+00  8.8817841970012000E-16
200006 -1.7050000000000000E+00  1.9984014443252000E-15
200007 -2.2261111111111000E+00  8.8817841970012000E-16
200008  8.9000000000000000E-01  8.8817841970012000E-16
200009 -6.6555555555555000E-01  1.7763568394002000E-15
200010 -2.2444444444444000E-01  8.8817841970012000E-16
200011  1.5561111111111000E+00  1.7763568394002000E-15
200012 -2.2216666666666000E+00  8.8817841970012000E-16
200101  8.8944444444444000E-01 -2.2204460492503000E-16
200102 -1.3547619047619000E-01 -2.4214285714285000E-01
200103 -1.1111111111098000E-03  8.8817841970012000E-16
200104 -1.3188888888888000E+00  1.8873791418627000E-15
200105  9.7138888888889000E-01  7.7715611723761000E-16
200106 -1.7050000000000000E+00  1.7763568394002000E-15
200107  8.8500000000000000E-01  7.7715611723761000E-16
200108  8.9000000000000000E-01  7.7715611723761000E-16
200109 -2.2211111111111000E+00  1.7763568394002000E-15
200110  1.3311111111111000E+00  8.8817841970012000E-16
200111  1.5561111111111000E+00  1.9984014443252000E-15
200112 -2.2216666666666000E+00  8.8817841970012000E-16
200201  8.8944444444444000E-01 -1.1102230246251000E-16
200202 -1.3547619047619000E-01 -2.4214285714285000E-01
200203 -1.5566666666666000E+00  8.8817841970012000E-16
200204  2.3666666666666000E-01  1.8873791418627000E-15
200205 -5.8416666666666000E-01  8.8817841970012000E-16
200206 -1.7050000000000000E+00  1.5543122344752000E-15
200207  2.4405555555555000E+00  8.8817841970012000E-16
200208 -6.6555555555555000E-01  9.9920072216264000E-16
200209 -6.6555555555555000E-01  1.7763568394002000E-15
200210  1.3311111111111000E+00  8.8817841970012000E-16
200211 -1.5550000000000000E+00  1.8873791418627000E-15
200212 -6.6611111111111000E-01  8.3266726846886000E-16
200301  8.8944444444444000E-01  0.0000000000000000E+00
200302 -1.3547619047619000E-01 -2.4214285714285000E-01
200303 -1.5566666666666000E+00  8.8817841970012000E-16
200304  2.3666666666666000E-01  1.7763568394002000E-15
200305 -5.8416666666666000E-01  8.8817841970012000E-16
200306 -1.7050000000000000E+00  1.5543122344752000E-15
200307  8.8500000000000000E-01  8.8817841970012000E-16
200308 -2.2211111111111000E+00  8.8817841970012000E-16
200309  8.9000000000000000E-01  1.7763568394002000E-15
200310  1.3311111111111000E+00  8.8817841970012000E-16
200311 -1.5550000000000000E+00  1.9984014443252000E-15
200312  8.8944444444444000E-01  7.7715611723761000E-16
200401 -6.6611111111111000E-01  0.0000000000000000E+00
200402 -6.9103174603174000E-01  7.5785714285714000E-01
200403  1.5544444444444000E+00  8.8817841970012000E-16
200404  2.3666666666666000E-01  1.7208456881689000E-15
200405 -5.8416666666666000E-01  8.3266726846886000E-16
200406  1.4061111111111000E+00  1.7763568394002000E-15
200407 -6.7055555555555000E-01  9.9920072216264000E-16
200408  8.9000000000000000E-01  8.8817841970012000E-16
200409  8.9000000000000000E-01  1.7763568394002000E-15
200410 -1.7800000000000000E+00  8.8817841970012000E-16
200411  5.5555555555648000E-04  1.8318679906315000E-15
200412  2.4450000000000000E+00  8.8817841970012000E-16
200501 -6.6611111111111000E-01  0.0000000000000000E+00
200502 -1.3547619047619000E-01 -2.4214285714285000E-01
200503 -1.1111111111098000E-03  8.8817841970012000E-16
200504  2.3666666666666000E-01  1.8318679906315000E-15
200505  1.7491666666666000E+00  6.6613381477509000E-16
200506  1.4061111111111000E+00  1.7763568394002000E-15
200507 -2.2261111111111000E+00  8.8817841970012000E-16
200508  8.9000000000000000E-01  8.8817841970012000E-16
200509  8.9000000000000000E-01  1.7763568394002000E-15
200510 -1.7800000000000000E+00  8.8817841970012000E-16
200511  5.5555555555649000E-04  1.6653345369377000E-15
200512  8.8944444444444000E-01  8.8817841970012000E-16
200601  8.8944444444444000E-01 -2.2204460492503000E-16
200602 -1.3547619047619000E-01 -2.4214285714285000E-01
200603  1.5544444444444000E+00  8.8817841970012000E-16
200604 -2.8744444444444000E+00  1.5543122344752000E-15
200605  9.7138888888889000E-01  8.8817841970012000E-16
200606 -1.4944444444444000E-01  1.9984014443252000E-15
200607 -2.2261111111111000E+00  8.8817841970012000E-16
200608  8.9000000000000000E-01  8.8817841970012000E-16
200609 -6.6555555555555000E-01  1.7763568394002000E-15
200610 -2.2444444444444000E-01  8.8817841970012000E-16
200611  1.5561111111111000E+00  1.7763568394002000E-15
200612 -2.2216666666666000E+00  8.8817841970012000E-16
200701  8.8944444444444000E-01 -2.2204460492503000E-16
200702 -1.3547619047619000E-01 -2.4214285714285000E-01
200703 -1.1111111111098000E-03  8.8817841970012000E-16
200704 -1.3188888888888000E+00  1.8873791418627000E-15
200705 -5.8416666666666000E-01  6.6613381477509000E-16
200706 -1.4944444444444000E-01  1.7208456881689000E-15
200707  8.8500000000000000E-01  7.7715611723761000E-16
200708  8.9000000000000000E-01  7.7715611723761000E-16
200709 -2.2211111111111000E+00  1.7763568394002000E-15
200710  1.3311111111111000E+00  8.8817841970012000E-16
200711  1.5561111111111000E+00  1.9984014443252000E-15
200712 -2.2216666666666000E+00  8.8817841970012000E-16
200801  8.8944444444444000E-01 -1.1102230246251000E-16
200802  8.6452380952381000E-01  7.5785714285714000E-01
200803 -3.1122222222222000E+00  8.8817841970012000E-16
200804  1.7922222222222000E+00  1.5543122344752000E-15
200805 -5.8416666666666000E-01  8.8817841970012000E-16
